Site,Plot,X,Y,TP,Comments,Sex,Pollination,Jun-21-2021,Jun-23-2021,Jun-25-2021,Jun-28-2021,Jun-29-2021,Jun-30-2021,Jul-2-2021,Jul-5-2021,Jul-8-2021,Jul-12-2021,Jul-14-2021,Jul-16-2021,Jul-19-2021,Jul-21-2021,Jul-23-2021,Jul-26-2021
T2,E,1,4,RH,,,,0,0,0,0,,5,0,0,0,0,,,,,,
T2,E,17,-18,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,103,46,BC,,F,,14,27,23,3,,1,1,1,0,0,,,,,,
T2,E,120,-33,YS,DB,F,,B,B,B,B,,0,1,2,2,0,0,,,,,
T2,E,186,4,GD,ST,H,,B,2,5,5,,17,42,65,67,22,21,16,8,3,,0
T2,E,194,-30,OH,"2 small PCS, DB",H,,B,B,B,B,,0,B,1,2,5,3,0,1,0,,0
T2,E,195,-38,BH,!PHL,H,,B,B,3,4,,6,15,41,65,16,15,8,4,0,,0
T2,E,235,-35,RH,,H,,B,B,B,B,,0,B,6,6,1,1,0,0,,,
T2,E,258,-20,BH,DB,F,,B,B,1,9,,6,68,84,46,4,2,0,1,0,,0
T2,E,265,-10,GD,Dead,,,0,0,0,0,,0,-,0,0,0,,,,,,
T2,E,265,5,WH,"3 PCS, spans tape",H,,B,B,1,9,,14,16,29,21,10,10,5,3,1,,0
T2,E,280,-34,YD,,H,,B,1,11,12,,17,53,77,48,19,8,3,0,0,,
T2,E,288,34,OS,"small, !PHL",,,0,B,B,0,,0,0,0,0,0,,,,,,
T2,E,297,-32,RC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,305,40,BC,2 PCS,H,,B,1,4,7,,4,40,113,135,85,78,42,26,10,,0
T2,E,318,50,YH,,H,,2,18,14,6,,15,23,49,55,26,18,6,5,6,,0
T2,E,320,22,GS,,H,,B,B,2,2,,13,33,69,89,49,45,24,14,4,,0
T2,E,375,-38,BH,,H,,0,B,B,B,,1,3,4,2,1,2,1,0,0,,
T2,E,385,10,RD,"Huge, spans tape",H,,B,B,3,3,,16,41,91,83,52,41,15,12,7,,0
T2,E,388,38,WS,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,405,35,GD,,H,,B,1,2,2,,5,13,22,17,5,6,1,1,0,,0
T2,E,417,32,OD,,H,,B,B,1,6,,3,10,4,1,0,1,0,0,,,
T2,E,435,-11,YC,,F,,4,13,17,8,,12,9,7,1,0,0,,,,,
T2,E,442,-47,OD,"3 PCS, huge",H,,B,1,1,1,,0,0,1,3,0,1,0,0,0,,
T2,E,480,-42,GS,,,,0,0,0,0,,0,0,B,0,1,1,0,0,,,
T2,E,485,-10,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,498,41,OD,,H,,B,B,B,0,,0,1,5,5,3,2,1,0,0,,
T2,E,507,0,RD,in transect middle,H,,0,B,B,0,,0,1,1,2,5,4,1,0,0,,
T2,E,509,40,YS,,F,,0,0,0,0,,0,B,1,1,0,0,,,,,
T2,E,509,49,BD,,F?,,0,0,0,0,,0,B,1,1,2,0,1,0,0,,
T2,E,519,48,WH,2 pieces,H,,0,0,B,0,,0,B,1,B,1,1,0,0,0,,
T2,E,528,0,GC,in middle,,,B,B,B,0,,0,0,0,0,0,,,,,,
T2,E,537,16,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,540,-14,YH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,545,47,YC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,548,10,OD,dryas,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,565,-17,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,568,42,BH,,H,,0,0,0,0,,0,B,1,0,0,,,,,,
T2,E,578,-5,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,588,0,GD,in middle,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,592,26,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,597,14,RD,DB,H,,B,B,B,0,,0,5,6,4,3,0,0,0,,,
T2,E,610,-44,OD,,H,,B,1,B,1,,0,0,0,B,0,0,,,,,
T2,E,610,-1,RS,spans transect,H,,1,2,1,0,,0,1,1,3,1,1,0,0,,,
T2,E,620,29,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,625,30,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,632,7,YS,ST,H,,B,2,5,1,,5,16,9,3,1,0,0,0,,,
T2,E,632,41,BH,"incl front piece, !PLT DR",H,,B,1,2,0,,17,29,36,38,8,7,2,2,0,,
T2,E,642,32,WH,,F,,0,0,B,0,,0,1,5,4,1,6,4,6,0,,
T2,E,652,-3,YD,,H,,1,1,1,0,,0,0,0,B,B,B,0,0,,,
T2,E,654,2,RD,ST,,,0,0,0,0,,0,1,0,0,0,,,,,,
T2,E,671,17,OD,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,690,44,YS,,F,,1,4,4,3,,0,2,1,0,0,,,,,,
T2,E,700,13,BH,,H,,B,5,13,15,,28,46,49,20,4,1,0,0,,,
T2,E,719,-14,GH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,729,-42,BC,,F,,2,4,6,3,,11,20,17,6,0,0,,,,,
T2,E,773,-12,WC,!PHL,H,,B,B,B,B,,0,1,2,1,0,0,,,,,
T2,E,777,-44,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,781,-11,RC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,824,-3,YC,,,,B,B,B,1,,0,1,2,0,0,,,,,,
T2,E,828,-2,OH,TP top L,,,,,,,,,,0,3,0,0,0,0,,,
T2,E,832,-10,BC,,H,,0,0,0,0,,0,B,B,1,0,2,1,1,0,,0
T2,E,840,13,GS,,H,,B,B,2,7,,13,21,19,14,1,1,0,0,,,
T2,E,843,-29,GD,,H,,B,1,2,8,,29,81,156,107,18,12,5,2,0,,0
T2,E,847,34,WH,,F,,B,2,3,2,,0,1,1,1,0,0,,,,,
T2,E,866,-22,WC,,H,,B,B,B,1,,1,2,2,6,3,2,0,0,0,,
T2,E,869,-9,RD,!PHL,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,870,-36,OH,,,,0,0,B,1,,0,2,2,0,0,,,,,,
T2,E,879,-25,YD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,890,17,OH,!PHL,H,,B,B,2,5,,15,16,15,5,2,1,0,0,,,
T2,E,896,-14,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,900,-36,WH,,,,,,,,,,,,B,B,B,0,0,,,
T2,E,901,28,BC,!PHL,H,,B,2,2,5,,10,37,54,22,1,1,0,0,,,
T2,E,920,28,GD,"2 parts, huge, !phl",H,,B,B,3,7,,12,48,79,74,19,16,4,3,0,,0
T2,E,925,39,YS,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,957,36,RH,big,H,,B,3,15,13,,7,29,20,9,2,0,0,0,0,,
T2,E,962,-24,GS,,H,,B,4,5,4,,4,9,10,4,0,0,,,,,
T2,E,982,-30,WH,DB,H,,0,1,3,2,,4,13,12,19,5,3,0,0,0,,
T2,E,1014,35,WC,,H,,0,0,0,0,,0,0,B,1,1,2,2,3,1,,
T2,E,1020,-47,RD,not incl plt DR,H,,0,2,2,2,,19,4,2,28,10,10,2,2,0,,0
T2,E,1022,1,OD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1027,39,BH,,F,,0,0,0,0,,0,0,B,2,8,6,1,2,5,,0
T2,E,1044,21,YD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1048,6,GS,3 parts,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1050,20,RC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1053,49,OS,,,,0,0,0,0,,0,0,0,0,0,1,0,0,,,
T2,E,1056,30,WH,!PHL,H,,B,B,B,2,,2,3,5,9,3,1,0,0,0,,
T2,E,1062,14,GC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1067,-37,BH,,H,,B,B,2,0,,0,0,1,0,0,,,,,,
T2,E,1067,-23,GC,!PHL,H,,0,0,B,B,,0,1,2,7,3,3,2,1,0,,0
T2,E,1067,50,BD,2 plts?,"F,H?",,B,B,B,0,,0,B,"2,1","4,2",B,1,0,0,0,,
T2,E,1072,11,YH,!PHL,"F,H?",,0,0,0,0,,0,0,1,1,0,,,,,,
T2,E,1078,-36,WC,,H,,B,B,1,1,,2,7,7,3,0,0,,,,,
T2,E,1079,20,RS,,"F,H?",,0,0,B,0,,0,1,0,0,0,,,,,,
T2,E,1081,31,OD,"TP top right, DB",,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1084,14,WC,,F,,0,0,0,0,,0,0,0,1,0,,,,,,
T2,E,1090,-15,OC,3 PCS,H,,B,B,1,1,,2,5,9,16,8,6,3,2,1,,0
T2,E,1093,43,GD,"DB to left, 2 plts?","H,F?",,8,13,8,0,,15,50,"9,39","13,20",7,8,6,"11,0","9,0",,4
T2,E,1096,30,BH,,H,,0,0,B,0,,0,B,3,4,1,0,0,0,0,,
T2,E,1102,-22,BH,"3 PCS, DB",H,,B,B,B,B,,0,2,7,18,16,9,5,3,0,,0
T2,E,1109,-1,GS,"ST, !PHL",H,,B,B,B,2,,0,11,16,25,7,4,2,0,0,,
T2,E,1109,38,RC,,H,,B,B,B,0,,2,3,3,3,2,1,0,0,0,,
T2,E,1115,-9,WC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1124,45,YS,,H,,0,1,1,0,,0,0,0,0,0,,,,,,
T2,E,1133,-2,RH,"ST, !PHL",H,,B,B,B,B,,0,B,2,13,21,14,10,3,2,,0
T2,E,1140,-30,GH,!PHL,H,,B,5,8,6,,24,57,87,63,20,16,8,3,1,,0
T2,E,1141,43,WH,,H,,B,4,2,0,,4,18,18,19,7,6,4,2,0,,
T2,E,1161,25,OC,,H,,B,1,1,2,,0,3,3,0,0,0,,,,,
T2,E,1164,35,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1172,24,GD,,H,,B,B,B,0,,2,4,11,8,1,0,0,0,0,,
T2,E,1172,38,YS,,H,,B,B,B,0,,0,2,0,3,4,2,0,0,,,
T2,E,1173,-13,OH,TP to R of plt,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,E,1191,1,RC,TP top right,H,,B,B,B,0,,0,4,1,1,0,0,,,,,
T2,E,1217,-24,BD,,F,,0,0,1,0,,0,2,5,0,0,0,,,,,
T2,E,1226,46,WC,!PHL,H,,0,B,B,0,,1,7,7,8,5,1,1,0,0,,
T2,E,1255,-17,RH,DB,,,0,0,1,1,,0,1,2,0,0,,,,,,
T2,E,1260,-35,YH,,H,,0,0,2,1,,6,12,13,16,2,1,1,1,1,,0
T3,CA,411,-10,RH,,F,,0,2,6,0,,12,24,18,5,0,0,,,,,
T3,CA,458,-30,YD,,H,,0,B,B,0,,0,3,6,4,1,0,0,0,0,,
T3,CA,468,-22,OH,,H,,0,1,5,3,,4,16,27,28,2,2,3,0,0,,
T3,CA,484,-14,GS,,H,,0,3,7,4,,12,39,35,29,5,5,2,1,0,,0
T3,CA,564,-30,BC,TP top left,F,,0,B,B,0,,0,1,2,3,0,0,,,,,
T3,CA,676,3,BH,ST,,,0,B,0,0,,0,0,0,0,0,,,,,,
T3,CA,685,-8,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,685,3,OD,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,688,10,RC,ST,H,,0,B,0,1,,1,0,1,0,0,,,,,,
T3,CA,722,23,RS,,H,,0,B,0,B,,B,1,2,1,0,0,,,,,
T3,CA,729,25,BC,,H,,0,0,0,0,,0,2,2,0,0,,,,,,
T3,CA,730,15,GD,,H,,0,B,0,1,,1,0,4,6,0,0,,,,,
T3,CA,734,23,WC,"DB, small",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,800,23,BH,,F,,0,0,0,3,,1,2,9,8,2,0,0,0,0,,
T3,CA,805,40,RC,Huge,H,,0,0,0,11,,23,35,45,27,7,4,2,0,0,,
T3,CA,815,2,WC,"ST, DB21",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,816,-31,RC,,H,,0,B,2,0,,1,1,0,B,0,0,,,,,
T3,CA,828,-30,OS,,,,0,B,B,0,,0,0,0,B,0,0,,,,,
T3,CA,845,-40,YS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,872,-50,GH,TP left,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,873,30,OD,,H,,0,0,0,1,,1,4,6,2,0,0,,,,,
T3,CA,877,12,GD,ST ,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,880,47,RS,Huge,H,,0,0,0,1,,4,15,18,8,1,1,0,0,0,,
T3,CA,884,-1,BH,ST,F?,,0,B,B,0,,0,1,1,1,0,0,,,,,
T3,CA,894,0,WC,"ST, TP top left",,,0,0,0,B,,B,0,0,0,0,,,,,,
T3,CA,902,-23,RD,"DB, 4 PCS, big",F,,0,B,5,0,,2,5,12,12,0,1,"1,3",0,0,,
T3,CA,920,10,WC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,922,-11,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,935,1,OH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,936,-49,YD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,943,6,BH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,944,36,GC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,952,44,RH,!PHL,F,,0,0,0,1,,0,0,2,3,0,0,,,,,
T3,CA,960,53,WC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,965,48,OS,large,H,,0,0,0,10,,14,48,68,62,7,2,2,1,1,,0
T3,CA,968,42,BH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,970,15,YS,,F,,0,0,0,0,,0,0,0,B,0,0,,,,,
T3,CA,978,1,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,986,-11,BC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,990,-13,GD,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1005,-33,GS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1015,34,GH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1060,55,YD,"Huge, out?",H,,0,0,0,4,,8,22,28,33,19,15,13,5,1,,0
T3,CA,1085,22,OD,,,,0,0,0,B,,B,0,0,0,0,,,,,,
T3,CA,1100,30,RC,,,,0,0,0,0,,B,0,0,0,0,,,,,,
T3,CA,1100,48,BH,,,,0,0,0,1,,0,2,2,B,0,0,,,,,
T3,CA,1108,24,YS,,H,,0,0,0,B,,1,0,0,0,0,,,,,,
T3,CA,1116,-53,RD,2 PCS,H,,0,1,2,4,,21,31,65,78,12,7,6,2,0,,0
T3,CA,1120,5,WH,"Huge, ST, DB21",H,,0,0,0,1,,2,5,6,4,1,0,,,,,
T3,CA,1130,31,GD,,H,,0,0,0,0,,0,0,0,B,0,,,,,,
T3,CA,1137,50,WC,,F,,0,0,0,0,,0,0,0,B,0,0,,,,,
T3,CA,1142,3,BH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1142,35,RC,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1145,24,WC,,,,0,0,0,B,,B,0,0,B,B,B,B,B,B,,0
T3,CA,1145,36,OH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1147,32,BC,,F,,0,0,0,0,,0,1,0,0,0,,,,,,
T3,CA,1150,-2,RH,"small, ST",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1158,10,YD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1160,35,YH,"small, !phlox R",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1164,16,OH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1168,-33,YS,part of OD?,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1170,-30,OD,,,,0,B,B,0,,B,0,0,0,0,,,,,,
T3,CA,1171,-38,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1173,-47,OC,part of BS?,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1175,50,OH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1177,-44,BS,,H,,0,B,B,0,,0,0,1,0,0,,,,,,
T3,CA,1177,-29,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1180,1,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1182,-42,RD,,H ,,0,2,1,1,,2,2,2,3,0,0,,,,,
T3,CA,1182,-35,GD,2 PCS,H?,,0,1,1,1,,0,0,0,0,0,,,,,,
T3,CA,1192,13,RH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1203,31,YS,DB21,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1205,-44,OD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1207,-3,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1207,49,BH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1208,55,OC,"oblong, incl plt L",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1210,52,GH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1228,20,GD,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1238,0,GD,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1240,-49,BS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1243,54,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1245,-22,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1248,-1,BH,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1251,-39,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1255,35,RC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1256,-28,OS,,,,0,0,0,B,,B,0,0,B,0,0,,,,,
T3,CA,1259,0,YH,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1259,37,RC,,,,,,,0,,0,,,,,,0,,,,
T3,CA,1264,27,BH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1267,-11,BC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1279,43,OS,,F?,,0,0,0,0,,0,3,3,0,0,,,,,,
T3,CA,1283,30,YD,TP to right,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1285,50,RD,DB,F?,,0,0,0,1,,3,0,0,B,0,0,,,,,
T3,CA,1286,-32,GS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1290,55,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1295,-30,WH,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1300,-20,GD,"small, !phlox R",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1305,27,GD,TP to right,,,0,0,0,0,,B,0,0,0,0,,,,,,
T3,CA,1312,44,BC,,,,0,0,0,B,,B,0,0,0,0,,,,,,
T3,CA,1317,-27,RD,DB in center,F,,0,1,1,1,,1,1,0,B,0,0,,,,,
T3,CA,1338,32,BH,,,,,,,0,,0,,,,,,0,,,,
T3,CA,1341,4,YC,"TP to right, DB",,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1342,-10,OC,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1348,-15,YD,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1365,-36,BD,,,,0,B,B,B,,B,0,0,0,0,,,,,,
T3,CA,1370,0,OS,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1384,39,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CA,1385,-53,GH,,H,,0,B,B,B,,B,2,8,10,0,0,,,,,
T3,CA,1400,12,WC,out?,F,,0,4,0,1,,3,11,7,6,0,0,,,,,
T3,CB,0,20,OD,,F,,0,0,0,6,,11,12,8,3,0,0,,,,,
T3,CB,10,26,GH,small,H?,,0,0,0,1,,2,6,8,1,0,0,,,,,
T3,CB,25,11,BH,"Huge, 3 PCS",F,,0,0,0,43,,49,79,94,118,43,32,26,4,1,,0
T3,CB,30,35,GC,"growing into WC above (x = 35, y =24)",H?,,0,0,0,B,,2,9,18,22,6,2,0,0,0,,
T3,CB,35,24,WC,,F,,0,0,0,6,,12,33,55,82,13,7,2,0,0,,
T3,CB,156,-5,RC,"Huge, ST, WTPS SEP 2 PLTS, LEFT = H RIGHT = F","F,H",,0,0,0,"30,16",,"73,19",191,216,"32,94","0,1","0,0",,,,,
T3,CB,173,10,OS,"big, 2 PCS, ST, check if 2 plts",H,,0,0,0,20,,22,51,47,25,1,0,0,0,0,,
T3,CB,520,-40,OD,,H?,,0,0,0,3,,6,34,77,89,17,8,3,0,0,,
T3,CB,655,-22,GD,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CB,666,-23,YS,DB,,,0,0,0,0,,0,0,0,B,2,3,5,1,0,,0
T3,CB,853,6,RS,really brown,F,,0,0,0,0,,0,0,0,1,1,1,0,1,1,,0
T3,CB,856,-5,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CB,857,-49,BH,"Big, out?",F,,0,0,0,2,,3,16,28,19,0,0,,,,,
T3,CB,859,8,OS,DB,F,,0,0,0,B,,B,0,2,5,1,0,1,0,0,,0
T3,CB,865,0,BC,"ST, 1 large 1 small piece",,,0,0,0,B,,B,0,0,4,2,3,2,0,0,,
T3,CB,866,12,YS,DB,F?,,0,0,0,B,,B,1,5,6,1,1,0,0,0,,
T3,CB,873,-10,GH,by positive BC's,,,0,0,0,B,,B,0,0,1,0,0,,,,,
T3,CB,882,0,WH,ST,H,,0,0,0,5,,5,16,13,5,3,1,1,0,0,,
T3,CB,908,50,OD,1 plant? (w/ RH),H ,,0,0,0,5,,7,12,8,4,0,0,,,,,
T3,CB,914,-42,RC,4 PCS,H,,0,0,0,0,,B,3,3,9,3,1,0,0,0,,
T3,CB,915,53,RH,one plant? (w/ OD),H,,0,0,0,10,,6,5,4,0,0,0,,,,,
T3,CB,928,-54,BH,!PHL,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CB,932,-14,OS,baby tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CB,937,-46,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CB,950,-17,YD,TP top right,,,0,0,0,B,,B,0,0,0,0,,,,,,
T3,CB,1000,-55,GS,"DB, edge, out?",,,0,0,0,B,,B,0,0,B,B,B,0,B,B,,0
T3,CB,1019,34,RS,sandwort,F,,0,0,0,6,,12,31,29,23,7,1,0,0,0,,
T3,CB,1048,25,OD,!PHL,H,,0,0,0,B,,B,1,1,0,0,0,,,,,
T3,CB,1057,-33,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T3,CB,1076,-54,WC,"edge, out?",H?,,0,0,0,B,,2,9,14,5,1,1,0,0,0,,
T3,CB,1084,20,BH,DB21,H,,0,0,0,B,,B,2,8,4,0,0,,,,,
T3,CB,1112,-41,RS,TP to right,,,0,0,0,B,,B,0,0,B,B,0,0,0,0,,
T3,CB,1150,-13,OC,,F,,0,0,0,1,,1,0,0,B,B,B,3,0,0,,
T3,CB,1155,48,YS,,F,,0,0,0,0,,B,4,3,2,0,0,,,,,
T3,CB,1180,55,GD,TP to right,F,,0,0,0,B,,1,1,9,11,1,0,0,0,0,,
